model,runs,ok_runs,avg_time_sec,min_time_sec,max_time_sec,avg_tps,avg_distinct_2,avg_len_words,example_1,example_2,example_3
phi3:mini,3,3,15.989,15.352,16.333,4.6,1.0,12.56,Lequel des modèles étudiés est considéré comme le plus efficace ?,"Parmi les différents modèles examinés, lequel a été identifié comme étant de meilleure qualité ?",Quel parmi les modèles analysés se révèle être celui d'excellente performance ?
qwen2:1.5b-instruct,3,3,7.299,5.616,10.287,10.36,1.0,10.22,Quel modèle de modélisation a été étudié dans ce document?,Quel modèle de modélisation a été analysé dans cet article?,Quel modèle de modélisation a-t-on vu dans cette recherche?
gemma2:2b,3,3,12.413,9.043,16.931,5.93,1.0,12.89,"Parmi les modèles étudiés, quel est celui qui se révèle le plus performant ?",Quelle est la meilleure conception de modèle parmi celles étudiées ?,Quels sont les modèles les plus pertinents pour l'étude ?
stablelm2:1.6b,3,3,13.28,10.031,18.504,10.87,1.0,18.89,Le modèle de la théorie du faisceau est un outil permettant d'analyser et de prédire les comportements des individus dans divers contextes sociaux en prenant,Le modèle de la théorie du faisceau est un outil permettant d'analyser et de prédire les comportements des individus dans divers contextes sociaux en prenant ?,Le modèle de la théorie du faisceau est un outil permettant d'analyser et de prédire les comportements des individus dans divers contextes sociaux en prenant ? ...
aroxima/gte-qwen2-1.5b-instruct:q5_k_m,3,3,5.122,3.11,9.096,,1.0,8.33,Quel modèle est le meilleur modèle etudié ?,Lequel modèle est le meilleur modèle etudié ?,Lequel modèle est le meilleur modèle etudié ? ...
phi3,3,3,23.636,16.602,32.734,4.46,1.0,14.55,Quelle est la meilleure architecture de modèle étudiée pour ce projet ?,"Parmi les différents modèles analysés, lequel a été identifié comme le plus performant ?","Dans l'ensemble des études menées, quel type d'architecture de modèle s'est avéré être le meilleur choix ?"
tinydolphin,3,3,8.22,3.376,13.312,15.3,1.0,12.89,Quel modèle est le meilleur modèle etudié ?,Lequel modèle est le meilleur modèle etudié ?,Lequel modèle est le meilleur modèle etudié ? ...
tinyllama,3,3,7.555,5.019,9.751,15.36,1.0,12.89,Le modèle est le plus pratique pour les étudiants.,Le modèle de l'université est le plus pratique pour les étudiants.,Le modèle d'études universitaires est le meilleur modèle pour les étudiants.
qwen2.5:3b-instruct-q4_K_M,3,3,12.806,7.783,22.218,7.04,1.0,11.0,Quelle est la meilleure approche modélisée ?,Quel est l'ensemble de modèles étudiés qui a obtenu les meilleurs résultats ?,Dans quelle catégorie de modèles avons-nous observé des performances exceptionnelles ?
noushermes_rag,3,3,37.289,22.727,53.004,3.36,1.0,12.45,"Parmi tous les modèles étudiés, quel est le meilleur ?","Souhaitons-nous savoir quels sont les modèles examinés et comment ils se distinguent, ou simplement identifier le meilleur d'entre eux ?",Quel est le meilleur modèle parmi ceux qui ont été analysés ?
granite3.3,3,3,38.271,24.186,65.538,2.84,1.0,10.78,Quel est le modèle étudiant le plus performant ?,Quel modèle a été le mieux évalué parmi ceux étudiés ?,"Parmi les modèles analysés, lequel se distingue comme le meilleur ?"
gemma3,3,3,14.924,7.138,30.375,5.58,1.0,8.33,Quel modèle a été le plus étudié ?,Quel modèle a fait l'objet de recherches approfondies ?,Quel modèle est le plus largement étudié ?
deepseek-r1,3,3,47.8,37.836,66.628,3.15,1.0,8.33,Quel modèle est le meilleur modèle etudié ?,Lequel modèle est le meilleur modèle etudié ?,Lequel modèle est le meilleur modèle etudié ? ...
mistral,3,3,40.826,31.862,56.943,2.4,1.0,12.0,Quel est le meilleur modèle étudié parmi tous les modèles ?,"Parmi les modèles étudiés, quel est le meilleur ?","En considérant tous les modèles étudiés, quelle est la meilleure option ?"
